artist,title,release_date,catalog_number,barcode_ean13,format,quantity_kuroneko,labels,distribution,origin,genre,vinyl_remaster,press_url
37500 Yens,Astero,2026-10-09,BS004,3700398743042,LP + 3 digital bonus tracks,60,Bruit Sourd / Eye Of Storm Records / Garden Seat,Kuroneko / KMA60 proposal,"Reims, France",Noise rock / Math rock / Experimental,Sylvain Masure,https://media.bruitsourd.com/37500-yens/
Ann Bonny,Nee / Söö,2026-10-09,POU045,3700398743059,Gatefold LP,30,Poutrage Records / Tandori Records / Vox Project / Day Off / Araki Records / Rejuvenation Records / Arsenic Solaris,Kuroneko / Bruit Sourd / KMA60 proposal,"Reims, France",Blurry Noise,,https://media.bruitsourd.com/ann-bonny/
